study_id	qpcr_id	region	well	sample_id	sample_group	target	control	target_ct	control_ct	delta_ct	twoddct	mincol	platecolincrement	biorep
CMR-1313	JES0013	VC	H8		NTC	PRNP	TBP	14.556059837341309	26.320402145385742	-11.764342308044434	0.8582753119644594	7	1	CMR-1313-JES0013-H7-8
CMR-1313	JES0013	VC	I7		NTC	PRNP	TBP	14.81025218963623	26.492105484008789	-11.681853294372559	0.8105782624195567	7	1	CMR-1313-JES0013-I7-8
CMR-1313	JES0013	VC	I8		NTC	PRNP	TBP	14.612399101257324	26.313875198364258	-11.701476097106934	0.8216786546744826	7	1	CMR-1313-JES0013-I7-8
CMR-1313	JES0013	VC	J7		NTC	PRNP	TBP	16.28533935546875	28.093128204345703	-11.807788848876953	0.8845152649361131	7	1	CMR-1313-JES0013-J7-8
CMR-1313	JES0013	VC	J8		NTC	PRNP	TBP	16.180524826049805	28.336751937866211	-12.156227111816406	1.1261485996615357	7	1	CMR-1313-JES0013-J7-8
CMR-1313	JES0013	VC	K7		NTC	PRNP	TBP	15.308704376220703	27.032814025878906	-11.724109649658203	0.834671113077102	7	1	CMR-1313-JES0013-K7-8
CMR-1313	JES0013	VC	K8		NTC	PRNP	TBP	15.231630325317383	27.05394172668457	-11.822311401367188	0.8934639957404821	7	1	CMR-1313-JES0013-K7-8
CMR-1313	JES0013	VC	L7		NTC	PRNP	TBP	15.605189323425293	27.350795745849609	-11.745606422424316	0.8472011893455323	7	1	CMR-1313-JES0013-L7-8
CMR-1313	JES0013	VC	L8		NTC	PRNP	TBP	15.43451976776123	27.096830368041992	-11.662310600280762	0.7996722321244533	7	1	CMR-1313-JES0013-L7-8
CMR-1313	JES0013	VC	M7		NTC	PRNP	TBP	15.791159629821777	28.088741302490234	-12.297581672668457	1.2420745521608019	7	1	CMR-1313-JES0013-M7-8
CMR-1313	JES0013	VC	M8		NTC	PRNP	TBP	15.298435211181641	27.257366180419922	-11.958930969238281	0.9822084005016889	7	1	CMR-1313-JES0013-M7-8
CMR-1313	JES0013	VC	A17		2440-hiPS	PRNP	TBP	18.605680465698242	26.363441467285156	-7.757761001586914	0.05339805852942698	17	1	CMR-1313-JES0013-A17-18
CMR-1313	JES0013	VC	A18		2440-hiPS	PRNP	TBP	18.559663772583008	26.283222198486328	-7.72355842590332	0.05214701647061069	17	1	CMR-1313-JES0013-A17-18
CMR-1313	JES0013	VC	B17		2440-hiPS	PRNP	TBP	16.368606567382812	26.774129867553711	-10.405523300170898	0.3346426882076634	17	1	CMR-1313-JES0013-B17-18
CMR-1313	JES0013	VC	B18		2440-hiPS	PRNP	TBP	16.426092147827148	26.771272659301758	-10.34518051147461	0.32093445953595545	17	1	CMR-1313-JES0013-B17-18
CMR-1313	JES0013	VC	C17		2440-hiPS	PRNP	TBP	16.593778610229492	27.447187423706055	-10.853408813476562	0.4564658737744383	17	1	CMR-1313-JES0013-C17-18
CMR-1313	JES0013	VC	C18		2440-hiPS	PRNP	TBP	16.559324264526367	27.456079483032227	-10.89675521850586	0.47038870246609715	17	1	CMR-1313-JES0013-C17-18
CMR-1313	JES0013	VC	D17		2440-hiPS	PRNP	TBP	16.255126953125	26.92869758605957	-10.67357063293457	0.40296899084676496	17	1	CMR-1313-JES0013-D17-18
CMR-1313	JES0013	VC	D18		2440-hiPS	PRNP	TBP	16.20048713684082	26.917348861694336	-10.716861724853516	0.415244171180859	17	1	CMR-1313-JES0013-D17-18
CMR-1313	JES0013	VC	E17		2440-hiPS	PRNP	TBP	16.570638656616211	27.292051315307617	-10.721412658691406	0.41655611334984144	17	1	CMR-1313-JES0013-E17-18
CMR-1313	JES0013	VC	E18		2440-hiPS	PRNP	TBP	16.376420974731445	27.123004913330078	-10.746583938598633	0.4238877078422438	17	1	CMR-1313-JES0013-E17-18
CMR-1313	JES0013	VC	F17		2440-hiPS	PRNP	TBP	16.648948669433594	27.285070419311523	-10.63612174987793	0.39264348036388425	17	1	CMR-1313-JES0013-F17-18
CMR-1313	JES0013	VC	F18		2440-hiPS	PRNP	TBP	16.914939880371094	27.462827682495117	-10.547887802124023	0.3693493386427291	17	1	CMR-1313-JES0013-F17-18
CMR-1313	JES0013	VC	G17		2440-hiPS	PRNP	TBP	16.030916213989258	26.659883499145508	-10.62896728515625	0.39070114333811873	17	1	CMR-1313-JES0013-G17-18
CMR-1313	JES0013	VC	G18		2440-hiPS	PRNP	TBP	15.99425220489502	26.605535507202148	-10.611283302307129	0.3859413155247796	17	1	CMR-1313-JES0013-G17-18
CMR-1313	JES0013	VC	H17		2440-exNA	PRNP	TBP	17.490837097167969	27.233823776245117	-9.742986679077148	0.21141604499574315	17	1	CMR-1313-JES0013-H17-18
CMR-1313	JES0013	VC	H18		2440-exNA	PRNP	TBP	17.483348846435547	27.260400772094727	-9.77705192565918	0.21646745199372788	17	1	CMR-1313-JES0013-H17-18
CMR-1313	JES0013	VC	I17		2440-exNA	PRNP	TBP	17.502384185791016	26.537845611572266	-9.03546142578125	0.12946477479184043	17	1	CMR-1313-JES0013-I17-18
CMR-1313	JES0013	VC	I18		2440-exNA	PRNP	TBP	17.447181701660156	26.567836761474609	-9.120655059814453	0.13734013168827047	17	1	CMR-1313-JES0013-I17-18
CMR-1313	JES0013	VC	J17		2440-exNA	PRNP	TBP	17.963359832763672	27.926946640014648	-9.963586807250977	0.24634582124740026	17	1	CMR-1313-JES0013-J17-18
CMR-1313	JES0013	VC	J18		2440-exNA	PRNP	TBP	17.992475509643555	27.968116760253906	-9.975641250610352	0.2484127878491844	17	1	CMR-1313-JES0013-J17-18
