animal	scaffold	region	dose_dio	residual
97830.3	s4 fixed	VC	0.2	0.47510007577562574
97830.3	s4 fixed	Str	0.2	0.7094943676473503
97830.3	s4 fixed	Thal	0.2	0.5440586559776786
97830.3	s4 fixed	CB	0.2	0.5338185899387312
97830.4	s4 fixed	HP	0.2	0.9115568975849829
97830.4	s4 fixed	PFC	0.2	0.6394547189129347
97830.4	s4 fixed	VC	0.2	0.4595593268911615
97830.4	s4 fixed	Str	0.2	0.4064146728658796
97830.4	s4 fixed	Thal	0.2	0.494607071016914
97830.4	s4 fixed	CB	0.2	0.5259044676299275
97830.5	s4 fixed	HP	0.2	0.5400518109512141
97830.5	s4 fixed	PFC	0.2	0.4254994992521147
97830.5	s4 fixed	VC	0.2	0.40818758401331595
97830.5	s4 fixed	Str	0.2	0.5248940092930592
97830.5	s4 fixed	Thal	0.2	0.4694382472409379
97830.5	s4 fixed	CB	0.2	0.8774693855048883
97831.1	s4 fixed	HP	0.2	0.4331788202649761
97831.1	s4 fixed	PFC	0.2	0.4327722976837519
97831.1	s4 fixed	VC	0.2	0.5554002660485134
97831.1	s4 fixed	Str	0.2	0.5053540639281183
97831.1	s4 fixed	Thal	0.2	0.4127492988903665
97831.1	s4 fixed	CB	0.2	0.4616722086449482
97836.1	s4 fixed	HP	0.2	0.925496721677864
97836.1	s4 fixed	PFC	0.2	0.4236331197678334
97836.1	s4 fixed	VC	0.2	0.4682295731542839
97836.1	s4 fixed	Str	0.2	0.5723424473596405
97836.1	s4 fixed	Thal	0.2	0.33271794786787073
97836.1	s4 fixed	CB	0.2	0.5463731205713975
97836.2	s4 fixed	HP	0.2	0.7440965388305215
97836.2	s4 fixed	PFC	0.2	0.4991032887072483
97836.2	s4 fixed	VC	0.2	0.4965919953414219
97836.2	s4 fixed	Str	0.2	0.7423811067083813
97836.2	s4 fixed	Thal	0.2	0.563521413940012
97836.2	s4 fixed	CB	0.2	0.5602555530642614
